site_name,os_type_1,os_type_2,os_type_2,pf_type,pf_registration
megafreshnews.com,rumor,,,,
megynkelly.us,fake,,,,
mentor2day.com,,,,Some fake stories,"Scottsdale, Ariz. **"
mentor2day.com,fake,,,,
metropolitanworlds.com,,,,Fake news,"Accra, Ghana"
metropolitanworlds.com,fake,,,,
militianews.com,conspiracy,bias,hate,,
mintpressnews.com,political,,,,
mississippiherald.com,,,,Imposter site,"Toronto, Canada !!!"
molonlabemedia.com,bias,conspiracy,,,
moonofalabama.org,bias,,,,
morningledger.com,unreliable,conspiracy,,,
morningnewsusa.com,unreliable,,,,
mpidailymagazine.com,fake,bias,,,
mrc.org,political,bias,,,
mrconservative.com,fake,satire,,,
msnbc.website,fake,,,,
myfreshnews.com,fake,bias,,,
myzonetoday.com,fake,bias,,,
nahadaily.com,satire,,,,
nakedcapitalism.com,political,,,,
nasamoonhoax.com,conspiracy,,,,
nationalreport.net,,,,Parody site,"Scottsdale, Ariz. **"
nationalreport.net,satire,fake,,,
nationalreview.com,political,,,,
nationalufocenter.com,conspiracy,,,,
nationalvanguard.org,hate,,,,
nationindistress.weebly.com,conspiracy,,,,
nationonenews.com,fake,conspiracy,,,
nativeamericans.us,,,,Some fake stories,"Cary, N.C."
naturalblaze.com,junksci,conspiracy,,,
naturalnews.com,junksci,conspiracy,,,
naturalnewsblogs.com,junksci,,,,
nbc.com.co,,,,Imposter site,"Phoenix, Ariz."
nbc.com.co,fake,,,,
ncscooper.com,satire,,,,
neonnettle.com,,,,Fake news,"Toronto, Canada !!!"
neonnettle.com,conspiracy,fake,bias,,
nephef.com,,,,Fake news,"Panama, Pa.*"
nephef.com,fake,,,,
nevo.news,unreliable,bias,,,
newcenturytimes.com,unreliable,bias,,,
newcoldwar.org,political,,,,
newpoliticstoday.com,,,,Fake news,"Kumanovo, Macedonia"
newpoliticstoday.com,fake,,,,
news4ktla.com,,,,Imposter site,"Scottsdale, Ariz. **"
news4ktla.com,fake,satire,,,
newsbbc.net,fake,,,,
newsbiscuit.com,satire,,,,
newsbreakers.org,satire,,,,
newsbreakingspipe.com,,,,Fake news,"Limassol, Cyprus"
newsbreakshere.com,,,,Fake news,"Chesterbrook, Pa.^"
newsbreakshere.com,fake,,,,
newsbysquad.com,,,,Fake news,"Panama, Pa. *"
newsbysquad.com,fake,,,,
newscorpse.com,political, , ,,
newsdaily12.com,,,,Imposter site,"Scottsdale, Ariz. **"
newsdaily12.com,fake,,,,
newsexaminer.net,,,,Fake news,"Nobby Beach, Australia !!"
newsexaminer.net,fake,satire, ,,
newsfrompolitics.com,fake,,,,
newsjustforyou1.blogspot.com,,,,Fake news,"Mountain View, Calif."
newsleak.co,,,,Fake news,"Tblisi, Georgia"
newsleak.co,fake,,,,
newslo.com,,,,Parody site,"Thessaloniki, Greece"
newslo.com,fake,,,,
newslogue.com,bias,fake,,,
newsmagazine.com,fake,,,,
newsmax.com,unreliable,bias,,,
newsmutiny.com,satire,fake,,,
newsninja2012.com,bias, ,,,
newstarget.com,conspiracy,,,,
newsthump.com,satire,,,,
newstoad.net,satire,,,,
newswatch28.com,fake,,,,
newswatch33.com,fake,,,,
newswire-24.com,rumor,unreliable,,,
newswithviews.com,fake,conspiracy,,,
newyorker.com/humor,satire,,,,
newzmagazine.com,,,,Fake news,"Scottsdale, Ariz. **"
nodisinfo.com,conspiracy,unreliable,,,
nomorefakenews.com,conspiracy,,,,
northcrane.com,unreliable,,,,
notallowedto.com,,,,Fake news,https://www.whois.com/whois/notallowedto.com
notallowedto.com,clickbait,fake,,,
now8news.com,,,,Imposter site,"Scottsdale, Ariz. **"
now8news.com,fake,,,,
nowtheendbegins.com,conspiracy,,,,
npiamerica.org,hate,bias,,,
nutritionalanarchy.com,unreliable,,,,
nutritionfacts.org,reliable,,,,
nymeta.co,clickbait,satire,,,
oann.com,political,reliable,,,
oathkeepers.org,bias,,,,
objectiveministries.org,satire,,,,
observer.com,political,,,,
occupy.com,political,,,,
occupydemocrats.com,clickbait,bias,unreliable,,
occupyliberals.com,bias,clickbait,,,
offgridsurvival.com,conspiracy,bias,,,
off-guardian.org,bias,conspiracy,,,
oftwominds.com,bias,conspiracy,,,
oilgeopolitics.net,conspiracy,,,,
onepoliticalplaza.com,,,,Fake news,"Miami, Fla.^^^"
onepoliticalplaza.com,fake,,,,
onlineconservativepress.com,fake,conspiracy,bias,,
openmagazines.com,,,,Fake news,"Scottsdale, Ariz. **"
openmagazines.com,fake,,,,
openmindmagazine.com,bias,conspiracy,,,
orientalreview.org,bias,conspiracy,,,
other98.com,clickbait,bias,unreliable,,
pakalertpress.com,fake,,,,
palmerreport.com,bias,,,,
pamelageller.com,conspiracy,fake,bias,,
patdollar.com,bias,clickbait,,,
patriotchronicle.com,bias,clickbait,,,
patriotnewsdaily.com,bias,,,,
patriotnewsdaily.com,satire,,,,
patriotpost.us,bias, ,,,
patriotrising.com,bias,conspiracy,,,
patriotupdate.com,bias,conspiracy,,,
paulcraigroberts.org,bias,conspiracy,,,
pjmedia.com,political,bias,,,
platosguns.com,bias,conspiracy,bias,,
politicalblindspot.com,conspiracy,junksci,,,
politicalcult.com,bias,clickbait,conspiracy,,
politicalears.com,unreliable,clickbait,,,
politicalo.com,,,,Parody site,"Jerusalem, Israel"
politicalo.com,fake, ,,,
politicalsitenews.com,fake,,,,
politicalupdator.com,fake,clickbait,bias,,
politicass.com,,,,Parody site,"Jerusalem, Israel"
politicono.com,,,,Parody site,"Jerusalem, Israel"
politicono.com,fake,,,,
politicops.com,,,,Parody site,"Jerusalem, Israel"
politicops.com,satire,fake,,,
politicot.com,,,,Parody site,"Jerusalem, Israel"
politicot.com,satire,fake,,,
politicsintheusa.com,unreliable,bias,,,
politicsusanews.com,,,,Fake news,"Panama, Pa.*"
politicsusanews.com,fake,,,,
politicususa.com,clickbait,unreliable,,,
pollhype.com,rumor ,clickbait,bias,,
powerpoliticians.com,unreliable,,,,
pravda.ru,bias,rumor,conspiracy,,
pravdareport.com,bias,rumor,conspiracy,,
prepperwebsite.com,conspiracy,fake,,,
president45donaldtrump.com,,,,Fake news,"Burlington, Mass. ~"
president45donaldtrump.com,fake,,,,
presidentialvoting2016.com,political,bias,unreliable,,
presstv.com,bias,unreliable,,,
presstv.ir,bias,unreliable,,,
prisonplanet.com,conspiracy,,,,
prisonplanet.com,conspiracy,,,,
prisonplanet.tv,conspiracy,,,,
prntly.com,,,,Fake news,"Nobby Beach, Australia !!"
prntly.com,fake,,,,
proamericanews.com,fake,,,,
progressivestoday.com,bias,,,,
projectveritas.com,bias,unreliable,political,,
proudcons.com,fake,bias,,,
proudemocrat.com,political,,,,
proudleader.com,,,,Fake news,"North Waterboro, Me."
qpolitical.com,bias,clickbait,junksci,,
rawforbeauty.com,junksci,,,,
rawstory.com,political,clickbait,,,
react365.com,fake,,,,
readconservatives.news,,,,Fake news,"Kirkland, Wash.***"
readconservatives.news,bias,fake,clickbait,,
reagancoalition.com,bias,fake,clickbait,,
realfarmacy.com,junksci,conspiracy,,,
realnewsrightnow.com,,,,Parody site,"Los Angeles, Calif."
realnewsrightnow.com,fake,satire,,,
realplanetnews.com,junksci,,,,
realtimepolitics.com,bias,unreliable,,,
redcountry.us,,,,Fake news,"Veles, Macedonia"
redcountry.us,fake,,,,
redflagnews.com,bias,conspiracy,unreliable,,
redinfo.us,,,,Fake news,"Veles, Macedonia"
redrocktribune.com,,,,Imposter site,"Scottsdale, Ariz. **"
redrocktribune.com,fake,,,,
redstate.com,political,clickbait,,,
redstatewatcher.com,bias,clickbait,,,
reductress.com,satire,,,,
regated.com,bias,,,,
religionlo.com,,,,Parody site,"Jerusalem, Israel"
religionlo.com,satire,,,,
religionmind.com,,,,Fake news,"Balangoda, Sri Lanka"
religionmind.com,fake,,,,
remedydaily.com,clickbait, ,,,
rense.com,conspiracy,junksci,,,
resistancereport.com,political,unreliable,,,
responsibletechnology.org,junksci,,,,
returnofkings.com,hate,,,,
revolutions2040.com,junksci,clickbait,,,
rhotv.com,fake,,,,
rickwells.us,fake,conspiracy,,,
rightalert.com,bias,unreliable,,,
rightwingnews.com,bias,unreliable,,,
rilenews.com,fake,satire,,,
rinf.com,political,,,,
rockcitytimes.com,satire,,,,
rogue-nation3.com,,,,Fake news,"Quebec, Canada"
rogue-nation3.com,fake,,,,
ronpaulinstitute.org,political,,,,
rumorjournal.com,,,,Fake news,"Panama, Pa. *"
rumorjournal.com,fake,,,,
rumormillnews.com,conspiracy,junksci,rumor,,
ruptly.tv,political,,,,
russia-insider.com,bias,clickbait,,,
satiratribune.com,,,,Parody site,"Scottsdale, Ariz. **"
satiratribune.com,satire,,,,
satirewire.com,satire,,,,
scrappleface.com,satire,,,,
secretsofthefed.com,conspiracy,junksci,,,
sensationalisttimes.com,satire,,,,
sentinelblog.com,conspiracy,junksci,,,
shareblue.com,unreliable,political,bias,,
sheepkillers.com,conspiracy,junksci,,,
shoebat.com,conspiracy,bias,,,
silverbearcafe.com,conspiracy,,,,
silver-coin-investor. com,conspiracy,bias,unreliable,,
silverdoctors.com,conspiracy,bias,,,
silverstealers.net,conspiracy,,,,
sjlendman.blogspot.com,bias,,,,
skeptiko.com,conspiracy,junksci,,,
smag31.com,,,,Some fake stories,"Dundalk, Ireland"
smag31.com,fake,unreliable,,,
socialeverythings.com,,,,Fake news,"Mahawela, Sri Lanka"
socialeverythings.com,fake,,,,
sonsoflibertyradio.com,conspiracy,bias, unreliable,,
southernconservativeextra.com,,,,Fake news,Came up as available for use
sovereignman.com,unreliable,,,,
speld.nl,satire,,,,
spinzon.com,,,,Fake news,"Panama, Pa. *"
sportspickle.com,satire,,,,
sputniknews.com,bias,state,fake,,
states-tv.com,,,,Fake news,"Scottsdale, Ariz. **"
stneotscitizen.com,satire,,,,
stormcloudsgathering.com,fake,,,,
stuppid.com,satire,,,,
subjectpolitics.com,fake,bias,,,
success-street.com,,,,Fake news,"Kumanovo, Macedonia"
success-street.com,fake,clickbait,,,
supremepatriot.com,,,,Fake news,"Panama, Pa. *"
supremepatriot.com,fake,bias,,,
surrealscoop.com,satire,,,,
tdtalliance.com,,,,Fake news,"Scottsdale, Ariz. **"
tdtalliance.com,fake,,,,
teaparty.org,,,,Some fake stories,"Laguna Woods, Calif."
teaparty.org,fake,unreliable,,,
thatviralfeed.net,,,,Some fake stories,"Denver, Colo."
thatviralfeed.net,fake,unreliable,,,
theamericanindependent.wordpress.com,fake,bias,,,
theantimedia.org,unreliable,bias,conspiracy,,
thebeaverton.com,satire,,,,
thebigriddle.com,,,,Some fake stories,"Scottsdale, Ariz. **"
thebigriddle.com,fake,,,,
theblaze.com,political,clickbait,,,
thebostontribune.com,fake,,,,
thecommonsenseshow.com,fake,conspiracy,,,
thecontroversialfiles.net,fake,clickbait, ,,
thedailybeast.com,political,,,,
thedailymash.co.uk,satire,,,,
thedailysheeple.com,conspiracy,bias,,,
thedailywtf.com,satire,,,,
theduran.com,unreliable,,,,
theeconomiccollapseblog.com,conspiracy,bias,,,
theeventchronicle.com,conspiracy,junksci,clickbait,,
theextinctionprotocol.com,conspiracy,,,,
thefederalistpapers.org,bias,conspiracy, ,,
thefifthcolumnnews.com,political,,,,
theforbiddenknowledge.com,conspiracy,junksci,,,
thefreepatriot.org,fake,bias,clickbait,,
thefreethoughtproject.com,unreliable,conspiracy,clickbait,,
thegatewaypundit.com,bias,conspiracy,unreliable,,
thegoldandoilguy.com/articles,unreliable,,,,
thehardtimes.net,satire,,,,
theineptowl.com,satire,,,,
theinformedamerican.net,unreliable,,,,
the-insider.co,,,,Fake news,"Scottsdale, Ariz. **"
the-insider.co,fake,,,,
theintercept.com,political,,,,
theinternetpost.net,,,,Fake news,"Scottsdale, Ariz. **"
theinternetpost.net,fake,,,,
thelastgreatstand.com,fake,conspiracy,bias,,
thelastlineofdefense.org,,,,Parody site,"Scottsdale, Ariz. **"
thelastlineofdefense.org,satire,,,,
thelibertybeacon.com,conspiracy,junksci,bias,,
thelibertymill.com,unreliable,bias,conspiracy,,
themadisonmisnomer.com,satire,,,,
themideastbeast.com,satire,,,,
themindunleashed.com,conspiracy,junksci,clickbait,,
themindunleashed.org,conspiracy,junksci,clickbait,,
themoralofthestory.us,,,,Fake news,"Paradise, Calif."
themoralofthestory.us,fake,,,,
themuslimissue.wordpress.com,hate,conspiracy,,,
thenationalmarijuananews.com,,,,Some fake stories,"Henderson, Nev."
thenet24h.com,,,,Fake news,"Brisbane, Australia"
thenet24h.com,fake,,,,
thenewamerican.com,bias,,,,
thenewsdoctors.com,bias,,,,
thenewsnerd.com,satire,,,,
thenewyorkevening.com,,,,Imposter site,"Kumanovo, Macedonia"
thenewyorkevening.com,fake,,,,
theonion.com,satire,,,,
thephaser.com,conspiracy,,,,
thepoke.co.uk,satire,,,,
thepoliticalinsider.com,,,,Some fake stories,"Scottsdale, Ariz. **"
thepoliticalinsider.com,conspiracy,bias,unreliable,,
the-postillon.com,,,,Parody site,"Roubaix, France"
thepremiumnews.com,,,,Fake news,"Panama, Pa. *"
theracketreport.com,fake,satire,,,
therealstrategy.com,bias,conspiracy,hate,,
thereporterz.com,fake,,,,
therightists.com,,,,Parody site,"Jerusalem, Israel"
therightists.com,satire, ,,,
therightscoop.com,fake,clickbait,,,
therightstuff.biz,hate,,,,
theseattletribune.com,,,,Parody site,"Scottsdale, Ariz. **"
theseattletribune.com,satire,,,,
theshovel.com.au,satire,,,,
theskunk.org,satire,,,,
thespoof.com,satire,,,,
thestatelyharold.com,satire,,,,
thetimesoftheworld.com,satire,,,,
thetrumpmedia.com,,,,Fake news,"Scottsdale, Ariz. **"
thetrumpmedia.com,fake,,,,
thetruthaboutcancer.com,junksci,,,,
thetruthdivision.com,fake,bias,,,
thetruthseeker.co.uk,fake,conspiracy,junksci,,
thetruthwins.com,junksci,conspiracy,clickbait,,
theunrealtimes.com,satire,,,,
theusaconservative.com,,,,Fake news,"Scottsdale, Ariz. **"
theusa-news.com,,,,Fake news,"Chesterbrook, Pa.^"
theusa-news.com,fake,,,,
theuspatriot.com,satire,fake,,,
thevalleyreport.com,satire,,,,
thewashingtonpress.com,,,,Imposter site,"Laurium, Mich. "
thewashingtonpress.com,fake,,,,
thewatchtowers.com,bias,conspiracy,clickbait,,
thinkprogress.org,political,,,,
threepercenternation.com,fake,conspiracy,bias,,
times.com.mx,,,,Imposter site,"Chesterbrook, Pa ^"
times.com.mx,fake,,,,
tmzworldnews.com,,,,Fake news,"Scottsdale, Ariz.**"
tmzworldnews.com,fake,,,,
tomwoods.com,political,unrealiable,,,
topekasnews.com,satire,,,,
topinfopost.com,clickbait,unreliable,conspiracy,,
trueactivist.com,clickbait,unreliable,,,
trueamericans.me,,,,Fake news,"Chesterbrook, Pa. ^"
trueamericans.me,fake,,,,
truepundit.com,bias,clickbait,,,
truetrumpers.com,,,,Fake news,"Chesterbrook, Pa.^"
truetrumpers.com,fake,,,,
trumpvision365.com,fake,,,,
truthandaction.org,bias,conspiracy,clickbait,,
truthbroadcastnetwork.com,conspiracy,clickbait,,,
truthfeed.com,hate,bias,conspiracy,,
truthfrequencyradio.com,conspiracy, ,,,
truthkings.com,bias,conspiracy,junksci,,
truthrevolt.org,bias,hate,,,
twitchy.com,clickbait,rumor,,,
ufoholic.com,conspiracy,,,,
unclesamsmisguidedchildren.com,bias,,,,
unconfirmedsources.com,satire,,,,
undergroundnewsreport.com,,,,Fake news,"Scottsdale, Ariz. **"
undergroundnewsreport.com,fake,,,,
undergroundworldnews.com,fake,conspiracy,bias,,
unitedmediapublishing.com,fake,,,,
universepolitics.com,,,,Fake news,"Veles, Macedonia"
universepolitics.com,fake,,,,
unz.com,bias,,,,
urbanimagemagazine.com,,,,Some fake stories,"Marion, Indiana"
us.blastingnews.com,satire,unreliable,,,
usa2016elections.com,fake,,,,
usadailyinfo.com,,,,Fake news,Panama *
usadailyinfo.com,fake,,,,
usadailypolitics.com,fake,,,,
usadailypost.us,,,,Fake news,"Veles, Macedonia"
usadailytime.com,,,,Fake news,"Panama, Pa.*"
usadailytime.com,fake,,,,
usadosenews.com,,,,Fake news,"Nobby Beach, Australia!!"
usadosenews.com,fake,,,,
usafirstinformation.com,,,,Fake news,"Panama, Pa. *"
usafirstinformation.com,fake,,,,
usahitman.com,fake,conspiracy,,,
usainfobox.com,fake,,,,
usamagazinestudio.com,fake,,,,
usanews4u.us,,,,Fake news,"Veles, Virgin Islands"
usanewsflash.com,fake,bias,clickbait,,
usanewshome.com,,,,Fake news,"Scottsdale, Ariz. **"
usanewsinsider.com,fake,bias,clickbait,,
usanewspolitics.com,fake,,,,
usanewstoday.com,,,,Fake news,"Scotts, Mich."
usanewstoday.com,fake,,,,
usaonlinepolitics.com,fake,clickbait,,,
usaphase.com,fake,bias,,,
usapolitics24hrs.com,,,,Fake news,"Nobby Beach, Australia !!"
usapolitics24hrs.com,fake,,,,
usapoliticsnow.com,,,,Fake news,"Nobby Beach, Australia !!"
usapoliticsnow.com,fake,bias,,,
usapoliticstoday.com,,,,Fake news,"Brea, Calif.^^"
usapoliticstoday.com,bias,unreliable,,,
usapoliticszone.com,,,,Fake news,"Veles, Macedonia"
usapoliticszone.com,fake,,,,
usa-radio.com,,,,Fake news,"Scottsdale, Ariz. **"
usa-radio.com,fake,,,,
usasnich.com,,,,Fake news,"Scottsdale, Ariz. **"
usasnich.com,fake,,,,
usasupreme.com,fake, ,,,
usa-television.com,,,,Imposter site,"Scottsdale, Ariz. **"
usa-television.com,fake,,,,
usatoday.com.co,fake,,,,
usatodaynews.me,,,,Imposter site,"Chesterbrook, Pa ^"
usatodaynews.me,fake,,,,
usatwentyfour.com,fake,,,,
usawatchdog.com,bias,,,,
usaworldbox.com,,,,Fake news,"Panama, Pa.^"
uschronicle.com,bias,conspiracy,hate,,
usconservativetoday.com,fake,,,,
usdefensewatch.com,unreliable,,,,
usfanzone.com,fake,bias,,,
ushealthyadvisor.com,,,,Fake news,"Panama, Pa.*"
ushealthyadvisor.com,fake,conspiracy,junksci,,
ushealthylife.com,,,,Fake news,"Panama, Pa.*"
ushealthylife.com,fake,,,,
usherald.com,,,,Fake news,"Austin, Texas"
usherald.com,bias,conspiracy,fake,,
usinfonews.com,,,,Fake news,"Veles, Macedonia"
usinfonews.com,fake,,,,
uslifetoday.com,clickbait,,,,
uspoliticslive.com,fake,bias,conspiracy,,
uspoln.com,,,,Fake news,"Scottsdale, Ariz. **"
uspoln.com,fake,,,,
uspostman.com,,,,Fake news,"Veles, Macedonia"
uspostman.com,fake,,,,
usuncut.com,clickbait,bias,unreliable,,
usviewer.com,unreliable,fake, ,,
vdare.com,bias,hate,,,
veteransnewsnow.com,unreliable,political,,,
veteranstoday.com,bias,unreliable,,,
vigilantcitizen.com,fake,conspiracy,,,
viralactions.com,,,,Fake news,"Scottsdale, Ariz. **"
viralactions.com,fake,,,,
viralliberty.com,fake,bias,clickbait,,
viraltube.nl,clickbait,,,,
voxtribune.com,,,,Fake news,"Scottsdale, Ariz. **"
voxtribune.com,fake,,,,
wakeupthesheep.com,conspiracy,,,,
wakingtimes.com,junksci,,,,
wakingupwisconsin.com,conspiracy, ,,,
wallstreetonparade.com,unreliable,,,,
washingtonevening.com,,,,Imposter site,"Kumanovo, Macedonia"
washingtonexaminer.com,political,unreliable, ,,
washingtonfed.com,fake,,,,
washingtonfeed.com,,,,Fake news,"Vancouver, Canada "
washingtonpost.com.co,,,,Imposter site,"Washington, DC"
washingtonpost.com.co,fake,,,,
washingtonsblog.com,bias,conspiracy,satire,,
waterfordwhispersnews.com,satire,,,,
wearechange.org,bias,conspiracy,,,
weaselzippers.us,unreliable,bias,,,
webdaily.com,fake,conspiracy,bias,,
weconservative.com,,,,Fake news,"Veles, Macedonia"
weeklystandard.com,political,bias,,,
weeklyworldnews.com,fake,rumor,clickbait,,
welovenative.com,,,,Some fake stories,"Pristina, Kosovo"
weshapelife.org,conspiracy,junksci,,,
westernjournalism.com,bias,clickbait,,,
whatdoesitmean.com,conspiracy,,,,
whatreallyhappened.com,conspiracy,rumor,,,
whitepower.com,hate,conspiracy,bias,,
whowhatwhy.com,unreliable,,,,
whowhatwhy.org,conspiracy,,,,
whydontyoutrythis.com,junksci,rumor,,,
wikileaks.com,unreliable, , ,,
wikileaks.org,unreliable, ,,,
wikispooks.com,conspiracy,,,,
williambanzai7.blogspot.com,satire,,,,
willyloman.wordpress.com,conspiracy,,,,
winkprogress.com,satire,,,,
winningdemocrats.com,bias,unreliable, ,,
witscience.org,satire,,,,
wnd.com,bias,clickbait,unreliable,,
wolfstreet.com,unreliable,,,,
wonkie.com,satire,,,,
worldnewsdailyreport.com,,,,Parody site,"Nobby Beach, Australia !!"
worldnewsdailyreport.com,satire,,,,
worldnewspolitics.com,bias,,,,
worldpoliticsnow.com,,,,Fake news,"Nassau, Bahamas!"
worldpoliticsnow.com,fake ,,,,
worldpoliticsus.com,fake,,,,
worldrumor.com,fake,,,,
worldstoriestoday.com,fake,,,,
worldtruth.tv,conspiracy,junksci,,,
worldwidehealthy.com,junksci,clickbait,,,
wtoe5news.com,fake,satire,,,
wundergroundmusic.com,satire,,,,
www.rt.com,state,,,,
x22report.com,conspiracy,,,,
yellowhammernews.com,political,,,,
yesimright.com,fake,bias,,,
youngcons.com,bias,unreliable,,,
yourfunpage.com,fake,,,,
yournationnews.com,clickbait,,,,
yournewswire.com,clickbait,junksci,,,
zerohedge.com,conspiracy,,,,
